 	Area	Mean	StdDev	Mode	Min	Max	X	Y	XM	YM	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	Feret	IntDen	Median	Skew	Kurt	%Area	RawIntDen	Slice	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity
1	34	255	0	255	255	255	59.853	50.529	59.853	50.529	26.971	57	45	6	9	8.440	5.129	91.192	0.587	9.849	8670	255	NaN	NaN	100	8670	1	58	45	113.962	6	1.646	0.608	0.739
2	37	255	0	255	255	255	114.986	51.203	114.986	51.203	24.728	112	46	6	9	9.124	5.163	92.061	0.760	9.849	9435	255	NaN	NaN	100	9435	1	112	55	66.038	6	1.767	0.566	0.841
3	1	255	0	255	255	255	120.500	46.500	120.500	46.500	2.828	120	46	1	1	1.128	1.128	0	1	1.414	255	255	NaN	NaN	100	255	1	120	46	135	1	1	1.000	1
4	37	255	0	255	255	255	52.770	51.554	52.770	51.554	22.971	49	48	7	8	7.363	6.398	54.411	0.881	8.544	9435	255	NaN	NaN	100	9435	1	52	56	69.444	7	1.151	0.869	0.851
5	29	255	0	255	255	255	122.121	51.672	122.121	51.672	19.314	119	49	7	5	6.884	5.363	175.260	0.977	7.616	7395	255	NaN	NaN	100	7395	1	119	50	156.801	5	1.284	0.779	0.921
6	57	255	0	255	255	255	53.693	65.956	53.693	65.956	38.042	48	58	10	13	9.934	7.306	72.172	0.495	13.153	14535	255	NaN	NaN	100	14535	1	54	58	98.746	9.405	1.360	0.735	0.671
7	5	255	0	255	255	255	114.900	59.700	114.900	59.700	7.657	114	58	2	3	3.144	2.025	108.435	1	3.606	1275	255	NaN	NaN	100	1275	1	114	58	123.690	2	1.553	0.644	0.909
8	6	255	0	255	255	255	60.167	60.833	60.167	60.833	9.071	59	59	3	3	3.489	2.190	135.000	0.916	4.243	1530	255	NaN	NaN	100	1530	1	59	59	135	2.828	1.593	0.628	0.857
9	36	255	0	255	255	255	115.389	65.944	115.389	65.944	22.142	112	62	6	8	7.707	5.948	88.779	0.923	8.544	9180	255	NaN	NaN	100	9180	1	114	62	110.556	6	1.296	0.772	0.878
10	25	255	0	255	255	255	60.740	66.460	60.740	66.460	18.728	58	63	5	7	6.845	4.650	93.016	0.896	7.280	6375	255	NaN	NaN	100	6375	1	59	63	105.945	5	1.472	0.679	0.833
11	30	255	0	255	255	255	122.533	66.667	122.533	66.667	20.142	119	64	7	6	6.769	5.643	174.031	0.929	7.280	7650	255	NaN	NaN	100	7650	1	119	66	164.055	6	1.200	0.834	0.857
12	40	255	0	255	255	255	115.825	79.425	115.825	79.425	28.385	113	73	6	11	9.577	5.318	92.848	0.624	11.180	10200	255	NaN	NaN	100	10200	1	114	73	100.305	6	1.801	0.555	0.762
13	39	255	0	255	255	255	53.038	81.141	53.038	81.141	25.556	49	76	7	9	7.877	6.304	64.515	0.750	9.434	9945	255	NaN	NaN	100	9945	1	50	84	57.995	7	1.249	0.800	0.780
14	41	255	0	255	255	255	60.476	80.988	60.476	80.988	25.556	57	76	7	9	9.337	5.591	119.284	0.789	10.817	10455	255	NaN	NaN	100	10455	1	58	76	123.690	6.659	1.670	0.599	0.845
15	29	255	0	255	255	255	122.810	81.190	122.810	81.190	18.728	120	78	6	6	6.563	5.626	134.999	1	7.211	7395	255	NaN	NaN	100	7395	1	121	78	123.690	6	1.167	0.857	0.892
16	5	255	0	255	255	255	114.100	89.300	114.100	89.300	7.657	113	88	2	3	3.144	2.025	108.435	1	3.606	1275	255	NaN	NaN	100	1275	1	113	88	123.690	2	1.553	0.644	0.909
17	63	255	0	255	255	255	83.040	95.310	83.040	95.310	38.870	77	89	11	11	10.207	7.859	152.971	0.524	12.530	16065	255	NaN	NaN	100	16065	1	77	93	151.390	9.596	1.299	0.770	0.712
18	35	255	0	255	255	255	96.986	94.986	96.986	94.986	25.556	94	89	6	10	8.316	5.359	86.999	0.673	10.198	8925	255	NaN	NaN	100	8925	1	97	89	101.310	6	1.552	0.644	0.769
19	31	255	0	255	255	255	53.242	94.984	53.242	94.984	22.971	50	90	6	9	7.775	5.077	75.573	0.738	9.220	7905	255	NaN	NaN	100	7905	1	52	99	77.471	6	1.531	0.653	0.795
20	109	255	0	255	255	255	65.931	95.014	65.931	95.014	54.527	57	90	20	9	20.157	6.885	179.703	0.461	20.396	27795	255	NaN	NaN	100	27795	1	57	93	168.690	9	2.928	0.342	0.744
21	35	255	0	255	255	255	90.843	95.271	90.843	95.271	26.142	89	90	4	11	10.723	4.156	88.941	0.644	11.180	8925	255	NaN	NaN	100	8925	1	90	101	79.695	4	2.580	0.388	0.864
22	32	255	0	255	255	255	103.250	95.031	103.250	95.031	21.314	101	91	5	8	8.425	4.836	103.930	0.885	8.944	8160	255	NaN	NaN	100	8160	1	101	91	116.565	5	1.742	0.574	0.901
23	29	255	0	255	255	255	109.293	95.293	109.293	95.293	21.314	107	91	5	8	7.675	4.811	86.640	0.802	8.544	7395	255	NaN	NaN	100	7395	1	107	99	69.444	5	1.595	0.627	0.853
24	28	255	0	255	255	255	115.536	95.607	115.536	95.607	18.728	113	92	5	7	6.605	5.397	96.340	1	7.280	7140	255	NaN	NaN	100	7140	1	115	92	105.945	5	1.224	0.817	0.889
25	35	255	0	255	255	255	121.586	95.671	121.586	95.671	21.556	119	92	6	8	7.700	5.788	76.319	0.947	8.544	8925	255	NaN	NaN	100	8925	1	120	100	69.444	6	1.330	0.752	0.886
26	7	255	0	255	255	255	72.500	104.214	72.500	104.214	9.071	71	103	3	3	3.086	2.888	0	1	3.606	1785	255	NaN	NaN	100	1785	1	71	103	123.690	3	1.069	0.936	0.875
27	3	255	0	255	255	255	101.833	104.167	101.833	104.167	5.657	101	103	2	2	2.365	1.615	135.000	1	2.828	765	255	NaN	NaN	100	765	1	101	103	135	2	1.464	0.683	0.857
28	1	255	0	255	255	255	54.500	104.500	54.500	104.500	2.828	54	104	1	1	1.128	1.128	0	1	1.414	255	255	NaN	NaN	100	255	1	54	104	135	1	1	1.000	1
29	60	255	0	255	255	255	82.417	109.250	82.417	109.250	35.213	76	104	11	10	10.412	7.337	164.190	0.608	12.530	15300	255	NaN	NaN	100	15300	1	76	107	151.390	10	1.419	0.705	0.732
30	38	255	0	255	255	255	97.158	111.026	97.158	111.026	30.385	94	104	6	12	10.506	4.605	92.969	0.517	12.166	9690	255	NaN	NaN	100	9690	1	97	104	99.462	5.580	2.281	0.438	0.738
31	38	255	0	255	255	255	90.447	110.684	90.447	110.684	26.142	88	105	5	11	10.411	4.647	83.768	0.699	11.402	9690	255	NaN	NaN	100	9690	1	89	116	74.745	5	2.240	0.446	0.844
32	47	255	0	255	255	255	52.798	111.053	52.798	111.053	27.556	49	106	7	10	10.321	5.798	92.323	0.778	10.770	11985	255	NaN	NaN	100	11985	1	51	106	111.801	6.908	1.780	0.562	0.839
33	39	255	0	255	255	255	59.500	111.372	59.500	111.372	28.971	57	106	5	12	11.149	4.454	84.818	0.584	12.369	9945	255	NaN	NaN	100	9945	1	58	118	75.964	5	2.503	0.399	0.796
34	30	255	0	255	255	255	65.900	110.133	65.900	110.133	20.971	63	106	6	8	6.935	5.508	123.616	0.857	8.246	7650	255	NaN	NaN	100	7650	1	65	106	104.036	6	1.259	0.794	0.822
